1,TOKYO MX,東京都千代田区麹町1-12-12. HOMAT半蔵門2階
2,読売テレビ,大阪市中央区城見２丁目２番３３号
3,BS/CSアニマックス,東京都港区海岸1-11-1　ニューピア竹芝ノースタワー 
4,アニマックス on PlayStation,東京都港区海岸1-11-1　ニューピア竹芝ノースタワー 
5,札幌テレビ,札幌市中央区北１条西８丁目１番地１ ０１１－２４１－１１８１
6,BS11,東京都千代田区神田駿河台2-5
7,時代劇専門チャンネル,東京都千代田区有楽町1-1-3　東京宝塚ビル15階
8,tvk,東京都千代田区内幸町1-3-3 内幸町ダイビル7F
9,MBS,大阪市北区茶屋町17番1号
10,サンテレビ,神戸市中央区港島中町6-9-1
11,KBS京都,京都市上京区烏丸通一条下ル龍前町600番地の1 
12,BSフジ,東京都港区台場2-4-8フジテレビ本社ビルメディアタワー22F
13,AT-X,東京都港区虎ノ門4-3-9
14,テレビ東京,東京都港区六本木3-2-1 六本木グランドタワー
15,テレビ愛知,名古屋市中区大須2-4-8
16,TVQ九州放送,福岡市博多区住吉２－３－１
17,テレビ大阪,大阪府大阪市中央区大手前1丁目2-18
18,テレビ北海道,北海道札幌市中央区大通東6丁目12-4
19,テレビせとうち,岡山県岡山市北区柳町2丁目1番1号
20,BSジャパン,東京都港区六本木3-2-1 六本木グランドタワー
21,岩手めんこいテレビ,岩手県盛岡市本宮5丁目2-25
22,岐阜放送,岐阜県岐阜市橋本町２丁目５２番地岐阜シティ・タワー４３　４階 
23,テレビ和歌山,和歌山市栄谷151番地
24,奈良テレビ,奈良市法蓮佐保山3丁目1番11号
25,熊本放送,熊本市中央区山崎町30
26,びわ湖放送,大津市鶴の里16-1
27,J:COMテレビ,東京都千代田区丸の内1-8-1 丸の内トラストタワーN館
28,日本テレビ,東京都港区東新橋一丁目6-1
29,BS日テレ,東京都港区東新橋１－６－１　日テレタワー２３階
30,RCC中国放送,広島市中区基町21-3
31,群馬テレビ,群馬県前橋市上小出町 3-38-2
32,とちぎテレビ,宇都宮市昭和2-2-2
33,ABCテレビ,大阪市福島区福島一丁目1番30号
34,メ～テレ,名古屋市中区橘2-10-1
35,フジテレビ,東京都港区台場二丁目4番8号
36,関西テレビ,大阪市北区扇町2丁目1番7号
37,東海テレビ,愛知県名古屋市東区東桜一丁目14番27号
38,テレビ西日本,福岡市早良区百道浜2-3-2
39,北海道文化放送,北海道札幌市中央区北１条西１４丁目１番地の５
